,Bib,M/F,"X1, Age","X2, 5K Pace","X3, Half Pace","Y, Official Time","X4, Gender","X5, Wave: Elite","X6, Wave: One","X7, Wave: Two","X8, Wave: Three",Index,Yfit,Res,"lnY, Official Time",lnYfit,"Res, lnY",ti,hii,DFFITS,Cooks distance
2719,1138,M,26,4.093999999999999,3.9966800000000005,189.52,0,0,1,0,0,1376,180.82628749202667,8.693712507973345,5.24449455985053,5.213881919253523,0.03061264059700708,0.6734970343570474,0.0004475314825890727,0.014250978528916564,2.256653474561385e-05
24528,25140,F,22,6.71,6.96528,309.92,1,0,0,0,0,12223,314.9259769586603,-5.0059769586603124,5.736314199658686,5.75818923742362,-0.021875037764933936,-0.3878743070186763,0.0008007585569696179,-0.010980339266095217,1.339729177503027e-05
3921,5837,F,40,4.374,4.56215,196.35,1,0,1,0,0,1996,202.12259802458797,-5.772598024587978,5.279898781024019,5.299019835903122,-0.019121054879103205,-0.44727527216971724,0.0008034648399310586,-0.012683317587553313,1.7875145963917156e-05
40,723,M,34,3.26,3.3890300000000004,146.87,0,0,1,0,0,23,158.75275465866008,-11.882754658660076,4.989547841765771,5.1267016632530895,-0.1371538214873187,-0.9206820002582276,0.0007034935746588042,-0.024428260106566693,6.630519918194112e-05
1048,7333,F,33,4.53,4.31236,176.67,1,0,1,0,0,540,184.6583864503806,-7.988386450380602,5.174283585624589,5.232847052015318,-0.05856346639072907,-0.6189786651111511,0.000849587043831111,-0.018049458797320016,3.619980202235534e-05
14384,20472,F,47,5.343999999999999,5.32291,235.65,1,0,0,0,1,7213,236.64281695220035,-0.9928169522003429,5.46234765336974,5.465499617482103,-0.0031519641123631814,-0.07690832895162289,0.0003607933813313467,-0.0014611036160388474,2.3722054208004478e-07
17100,27995,M,51,5.834,5.75566,247.08,0,0,0,0,0,8555,263.3175604827251,-16.237560482725115,5.509712170827698,5.561578655499371,-0.051866484671672985,-1.2580067699200908,0.0005081718421147163,-0.028366036209700334,8.939960326244289e-05
20337,30943,F,47,5.98,5.7386,265.27,1,0,0,0,0,10165,252.8689968624914,12.401003137508582,5.580748175217117,5.523122138553683,0.05762603666343402,0.9608544825528488,0.0007358680505505739,0.026074587390315974,7.554311877347148e-05
22360,26158,F,26,6.53,6.5112,281.87,1,0,0,0,0,11131,290.61015225807336,-8.740152258073351,5.641445971740414,5.665816625819195,-0.024370654078780696,-0.6771556623634475,0.0006271346381910042,-0.01696309647014793,3.197316321344785e-05
2064,4363,M,41,4.21,4.16258,185.27,0,0,1,0,0,1034,187.97135728662886,-2.7013572866288484,5.221814220561922,5.243911401272708,-0.022097180710786368,-0.20925835104089766,0.0003421706199223943,-0.0038714929360239626,1.66550506030141e-06
13022,20872,F,53,5.17,5.31438,231.0,1,0,0,0,1,6527,238.93290543488146,-7.932905434881462,5.442417710521793,5.47404865144953,-0.03163094092773644,-0.6145391342951727,0.00039277837664887467,-0.012181720681829046,1.6489036585579327e-05
1264,1782,F,28,4.066,4.16495,178.65,1,0,1,0,0,647,184.33523118623378,-5.6852311862337785,5.185428584469419,5.228079551745321,-0.04265096727590212,-0.44048100565177734,0.0006911047798644767,-0.011583752167521718,1.4910169336221805e-05
6892,9567,M,55,4.596,4.57495,209.38,0,0,0,1,0,3514,208.75955506921258,0.6204449307874143,5.344150782891209,5.349246892829642,-0.005096109938433457,0.048065337063021865,0.0004741247884443165,0.001046842395212802,1.2177355550064683e-07
25729,28313,M,53,6.874,7.73457,337.33,0,0,0,0,0,12849,363.72728988808444,-26.397289888084458,5.8210616797075545,5.947666310702088,-0.12660463099453345,-2.0460750991898173,0.0012311011755238273,-0.07183497383919554,0.0005732239604917602
21698,24778,F,62,5.434,5.99597,275.62,1,0,0,0,0,10812,277.3513591511097,-1.7313591511097002,5.619023105446999,5.614737675043788,0.004285430403211166,-0.13418362839961584,0.001317745498481187,-0.004874180808993378,2.639934399310693e-06
7560,17555,F,34,4.974,4.85508,212.0,1,0,0,0,1,3859,215.76383551815866,-3.7638355181586576,5.356586274672012,5.382347128829481,-0.025760854157468316,-0.29158580337633666,0.0005000121698380647,-0.0065217668090388715,4.726266289379777e-06
18592,20572,F,52,5.704,5.75756,254.82,1,0,0,0,1,9296,256.1122783162551,-1.2922783162550786,5.540557413553235,5.542022980444956,-0.0014655668917207265,-0.1001096161058794,0.0004320530927844433,-0.0020813168227837874,4.813561406924896e-07
8813,3535,M,33,4.17,4.61808,216.6,0,0,1,0,0,4486,216.50913095498882,0.09086904501117488,5.37805233456689,5.350309771601229,0.02774256296566069,0.007039589672322102,0.00048640222416495145,0.00015529260247431424,2.6797358878995434e-09
16665,14214,F,32,5.276,5.39732,244.93,1,0,0,1,0,8345,240.258100099381,4.671899900618996,5.50097245543491,5.4695989527839926,0.03137350265091765,0.3619372225474213,0.0005148482709710263,0.008214567551227734,7.498174610837033e-06
23269,16271,M,57,5.63,6.5955699999999995,291.7,0,0,0,0,1,11578,314.63155650832107,-22.93155650832108,5.675725876873676,5.7627811619224145,-0.08705528504873872,-1.7775423343575036,0.0014201746012382378,-0.06703466288086597,0.0004992121655841621
13769,16453,F,39,4.72,5.195880000000001,233.57,1,0,0,0,1,6902,240.55922517030643,-6.98922517030644,5.453481818049386,5.475337821001583,-0.02185600295219725,-0.5414944993224371,0.0006189707595297025,-0.013476079528922755,2.0179384785177067e-05
19063,21255,F,46,5.476,5.62863,257.47,1,0,0,0,1,9529,252.73429930175456,4.735700698245466,5.550903208462204,5.526961478717953,0.023941729744250573,0.36684709047807845,0.00033556713644588697,0.006721213168648273,5.0197415843587825e-06
10502,2986,M,33,4.026,4.15784,222.72,0,0,1,0,0,5323,191.3834638655763,31.33653613442371,5.405915377146055,5.254470144535339,0.1514452326107163,2.428001524580801,0.0003456771633439992,0.04515016852262377,0.00022642005774219803
15959,18395,M,63,4.99,5.04704,241.53,0,0,0,0,1,8026,232.56610977288895,8.963890227111051,5.486993688979999,5.449667720164258,0.03732596881574146,0.6944860058871405,0.0006136114078250795,0.01720851903141632,3.290497384912166e-05
9681,2501,M,26,3.9739999999999998,4.18296,219.75,0,0,1,0,0,4913,194.1823139937625,25.567686006237494,5.392490536565286,5.263653873811201,0.12883666275408512,1.9809970326777582,0.00046955389380316776,0.04293668732309346,0.00020479444199847675
26134,28387,F,51,7.31,7.845960000000001,353.22,1,0,0,0,0,13044,355.7240039238621,-2.504003923862058,5.867091092268225,5.920495074989263,-0.0534039827210373,-0.19404652541188913,0.001125379642861548,-0.006513282404400236,4.713994094152511e-06
19017,20521,M,74,5.72,5.73054,257.22,0,0,0,0,1,9508,260.0928843122982,-2.872884312298197,5.549931749837941,5.5597891509820885,-0.00985740114414746,-0.22260757024328595,0.0008987115545319409,-0.006676445873831406,4.953127291374158e-06
21813,21012,M,61,5.81,6.20785,276.63,0,0,0,0,1,10869,287.87516831210127,-11.24516831210127,5.622680873219159,5.663332025301101,-0.04065115208194214,-0.8713057845342101,0.0007659557216514932,-0.024123416687294313,6.466109677287369e-05
24386,27992,M,56,6.41,6.621639999999999,307.02,0,0,0,0,0,12155,304.88586241698283,2.13413758301715,5.726912892045055,5.72292950785808,0.003983384186975414,0.16533302247509657,0.000511072909329066,0.003738626173009385,1.553150857108554e-06
13011,21912,F,49,5.356,5.38547,230.95,1,0,0,0,1,6522,240.09132600744823,-9.141326007448242,5.442201236876614,5.4789175867725275,-0.036716349895913325,-0.7081424227225408,0.00035644409077091425,-0.013371918985831083,1.9868331570205947e-05
644,748,M,26,3.7039999999999997,3.7762800000000003,171.08,0,0,1,0,0,336,174.53219160752602,-3.4521916075260037,5.142131283358708,5.1877606240041825,-0.045629340645474414,-0.26744421345404723,0.0005128846269190474,-0.006058351215491322,4.07846738003204e-06
20420,15574,M,59,5.484,5.58976,265.78,0,0,0,1,0,10205,253.75973903844553,12.020260961554442,5.5826688989033615,5.525278491871013,0.0573904070323481,0.9313043197884764,0.0006338851084565602,0.02345495381219091,6.112671096299159e-05
18127,17923,F,40,4.83,5.35372,252.27,1,0,0,0,1,9062,248.04162997160216,4.228370028397848,5.530499942512916,5.504434638308889,0.026065304204027306,0.32759116639575336,0.0006062863726259357,0.008068685335713175,7.234232759933363e-06
16696,26722,M,40,4.75,5.26745,245.08,0,0,0,0,0,8359,253.87145318107008,-8.791453181070068,5.501584687857454,5.517692209167642,-0.016107521310187778,-0.6813583438627242,0.0012956265444753535,-0.024541269311734,6.692204369680303e-05
6329,6138,M,44,4.506,4.520919999999999,207.25,0,0,1,0,0,3223,204.09418594285157,3.155814057148433,5.333925794015404,5.307091455779219,0.02683433823618575,0.2444656708390667,0.00036722303112198635,0.004685571759047739,2.4395721925760928e-06
10439,12783,F,31,4.886,4.9214400000000005,222.47,1,0,0,1,0,5289,218.63908463019033,3.8309153698096736,5.404792261055042,5.385391331517178,0.019400929537863654,0.2967766965032192,0.0004606516425838474,0.006371125508848421,4.510450025462748e-06
4932,8507,M,52,4.91,4.6797,201.32,0,0,0,1,0,2486,209.60491491034608,-8.284914910346089,5.304895681908159,5.35385173155718,-0.04895604964902045,-0.6418542534359976,0.0005333478495401675,-0.014827145304313111,2.4428227898660288e-05
12348,18716,F,37,5.414,5.34424,228.72,1,0,0,0,1,6200,237.18626548664395,-8.466265486643948,5.432498548014056,5.466420420542462,-0.033921872528405395,-0.6558686934558211,0.00042447520251605374,-0.013515597708579014,2.029769812684863e-05
