,Bib,M/F,"X1, Age","X2, 5K Pace","X3, Half Pace","Y, Official Time","X4, Gender","X5, Wave: Elite","X6, Wave: One","X7, Wave: Two","X8, Wave: Three",Index,Yfit,Res,"lnY, Official Time",lnYfit,"Res, lnY",w3_fit,"Res, w3_OLS",ti,hii,DFFITS,Cooks distance
15959,18395,M,63,4.99,5.04704,241.53,0,0,0,0,1,8026,232.56610977288895,8.963890227111051,5.486993688979999,5.449667720164258,0.03732596881574146,232.1270269368901,9.402973063109897,0.803058916586872,0.001807346339034263,0.03417125393346438,0.00023355988484129972
26056,22034,F,49,6.224,6.93352,350.18,1,0,0,0,1,13005,317.7462411259044,32.43375887409559,5.858447307998171,5.777650443220749,0.08079686477742154,322.01491303788947,28.165086962110536,2.41089362141206,0.004777904913906802,0.16704627457081703,0.005572818518207278
16250,20685,M,60,5.204,5.26129,242.98,0,0,0,0,1,8155,241.78904171132442,1.1909582886755743,5.492979135426596,5.485344390684304,0.007634744742292199,241.26816690570718,1.711833094292814,0.1461526172550856,0.0013647059166786318,0.005402847118454417,5.839871785004965e-06
15396,23519,M,67,5.57,5.49828,239.17,0,0,0,0,1,7748,249.15297260458664,-9.98297260458665,5.477174596150773,5.516452602966575,-0.039278006815801625,248.1622310431522,-8.992231043152202,-0.7680216683766108,0.0019332832836481198,-0.03380192504715717,0.00022854224379558277
17627,16509,F,30,4.82,4.82854,249.8,1,0,0,0,1,8813,217.12337390488625,32.67662609511376,5.520660597691477,5.38594645281213,0.1347141448793474,215.57881797832016,34.22118202167985,2.9258526981765827,0.0016159779489519003,0.11771216892245065,0.002764938157964792
16369,20079,F,55,5.034,5.05652,243.6,1,0,0,0,1,8213,225.7422750580203,17.857724941979683,5.495527535835742,5.423683840118491,0.07184369571725124,225.43424579409543,18.165754205904562,1.551787140947396,0.0017212283282841108,0.06443554012700818,0.0008300359521477408
16688,19376,F,38,5.194,5.5253,245.03,1,0,0,0,1,8356,251.96438311575804,-6.934383115758038,5.501380652028055,5.521126279598373,-0.019745627570317836,253.0025693345391,-7.972569334539088,-0.6805534391324481,0.0008580765144831334,-0.019943971720909556,7.956525962986095e-05
17267,22526,M,62,5.394,5.49212,247.9,0,0,0,0,1,8631,252.18337592722858,-4.283375927228576,5.513025439041145,5.526081631522804,-0.013056192481659679,252.0645225171798,-4.16452251717979,-0.3555553185241243,0.0013183329659337386,-0.012918324710904209,3.33854019668866e-05
12306,21515,F,47,5.034,5.07169,228.58,1,0,0,0,1,6187,227.06395443116276,1.5160455688372565,5.431886258469452,5.427438882468776,0.004447376000675796,226.50634536565252,2.0736546343474913,0.17699020196309467,0.0007527187833851903,0.004857682368358593,4.720792151902861e-06
15425,17171,F,50,5.074,5.12004,239.25,1,0,0,0,1,7764,229.10569814974127,10.144301850258728,5.477509030333064,5.435861316443904,0.041647713889159554,228.74409601662194,10.505903983378062,0.8968808671425921,0.0009275327101443535,0.0273275615557721,0.00014936791914054197
