,Bib,M/F,"X1, Age","X2, 5K Pace","X3, Half Pace","Y, Official Time","X4, Gender","X5, Wave: Elite","X6, Wave: One","X7, Wave: Two","X8, Wave: Three",Index
20164,28791,M,30,5.78,5.65707,264.02,0,0,0,0,0,10064
8501,12468,M,55,4.846,4.76834,215.52,0,0,0,1,0,4161
4895,10222,M,46,4.76,4.61998,201.17,0,0,0,1,0,2422
13480,26728,M,29,4.9,4.82759,232.65,0,0,0,0,0,6710
14301,21991,F,39,5.19,5.21626,235.32,1,0,0,0,1,7121
22943,23363,F,51,5.6160000000000005,5.818230000000001,287.85,1,0,0,0,1,11507
7075,5193,M,43,4.476,4.68634,210.13,0,0,1,0,0,3452
19857,21897,M,62,5.444,5.73765,262.1,0,0,0,0,1,9919
18454,31087,M,43,5.524,5.61204,254.05,0,0,0,0,0,9205
1026,3210,M,35,4.024,4.0658900000000004,176.4,0,0,1,0,0,496
8109,30615,M,41,5.4239999999999995,5.08449,214.05,0,0,0,0,0,3971
24718,26886,M,48,7.356,7.28902,313.15,0,0,0,0,0,12360
13514,6606,M,37,4.556,4.6725900000000005,232.73,0,0,1,0,0,6729
21170,27456,F,27,5.676,5.65233,271.18,1,0,0,0,0,10595
7483,10044,F,38,4.776,4.826169999999999,211.75,1,0,0,1,0,3654
24947,27019,F,25,7.936,7.13497,318.02,1,0,0,0,0,12468
10106,16423,M,60,4.934,4.9167,221.33,0,0,0,0,1,4976
12759,8105,M,47,4.486000000000001,4.77166,230.13,0,0,0,1,0,6343
8193,15349,F,32,5.044,4.98969,214.37,1,0,0,1,0,4020
17421,22113,M,60,5.546,5.50208,248.72,0,0,0,0,1,8699
13958,12681,F,41,4.984,5.09776,234.22,1,0,0,1,0,6957
21870,12146,M,50,5.07,5.77936,277.12,0,0,0,1,0,10953
10518,18077,M,58,5.004,4.99728,222.78,0,0,0,0,1,5181
12322,13312,F,30,4.806,4.78872,228.63,1,0,0,1,0,6121
15365,28530,F,28,5.346,5.36557,239.05,1,0,0,0,0,7618
6550,12706,M,50,4.736000000000001,4.760280000000001,208.15,0,0,0,1,0,3201
21285,3463,M,44,5.66,5.94715,272.07,0,0,1,0,0,10654
18006,10823,M,49,4.79,5.05178,251.65,0,0,0,1,0,8976
19409,17250,F,33,5.164,5.40965,259.27,1,0,0,0,1,9696
14151,22464,F,50,5.34,5.38547,234.83,1,0,0,0,1,7046
679,43,F,26,3.85,3.93649,171.77,1,1,0,0,0,325
23970,29700,M,29,5.99,5.78268,300.62,0,0,0,0,0,11994
13060,12719,F,29,5.026,5.08591,231.12,1,0,0,1,0,6502
13172,18555,M,55,5.144,5.19161,231.52,0,0,0,0,1,6555
20986,23460,F,52,5.5360000000000005,5.80732,269.77,1,0,0,0,1,10485
24758,28753,F,34,6.864,7.0292699999999995,313.95,1,0,0,0,0,12380
2497,3517,M,50,4.166,4.19386,188.3,0,0,1,0,0,1227
5108,10871,F,48,4.803999999999999,4.760280000000001,202.13,1,0,0,1,0,2527
22196,18538,F,41,5.266,5.32196,280.25,1,0,0,0,1,11123
19107,23571,F,51,6.1,6.16566,257.67,1,0,0,0,1,9532
6754,12350,M,60,4.744,4.84181,208.9,0,0,0,1,0,3319
22005,16259,F,31,5.486000000000001,5.92345,278.35,1,0,0,0,1,11020
14856,12655,M,52,4.8260000000000005,4.824269999999999,237.3,0,0,0,1,0,7381
10611,21785,F,49,5.1739999999999995,5.05131,223.1,1,0,0,0,1,5229
4610,1550,M,41,4.23,4.24932,199.82,0,0,1,0,0,2274
16840,18002,F,46,5.05,5.39732,245.7,1,0,0,0,1,8395
10522,9612,F,32,4.596,4.89774,222.78,1,0,0,1,0,5182
1591,2926,M,49,4.046,4.025119999999999,181.35,0,0,1,0,0,774
4536,10703,F,37,4.604,4.60007,199.43,1,0,0,1,0,2241
17069,16582,F,22,4.66,5.2295300000000005,246.9,1,0,0,0,1,8514
25408,25090,F,65,6.87,6.807919999999999,328.03,1,0,0,0,0,12692
25714,26434,M,24,6.274,7.151089999999999,336.73,0,0,0,0,0,12838
9198,20175,F,45,4.944,4.90343,218.03,1,0,0,0,1,4510
14369,13165,F,41,4.874,5.18877,235.58,1,0,0,1,0,7155
4325,6609,M,39,4.4639999999999995,4.5067,198.45,0,0,1,0,0,2127
6138,16446,F,28,4.54,4.73848,206.55,1,0,0,0,1,3012
9570,7234,M,41,4.53,4.73374,219.33,0,0,1,0,0,4708
11130,9310,M,50,4.78,4.90343,224.8,0,0,0,1,0,5499
19335,27897,M,41,5.67,5.40206,258.83,0,0,0,0,0,9649
3198,5291,M,48,4.3839999999999995,4.5019599999999995,192.33,0,0,1,0,0,1571
6054,13896,F,31,4.796,4.78872,206.23,1,0,0,1,0,2971
10081,8766,M,52,4.606,4.65695,221.23,0,0,0,1,0,4963
23198,29763,M,58,6.216,6.22444,290.8,0,0,0,0,0,11623
11967,1600,M,32,4.166,4.2697,227.62,0,0,1,0,0,5929
18566,23188,M,60,5.916,6.1595,254.68,0,0,0,0,1,9262
24583,29738,F,29,6.38,6.824510000000001,310.95,1,0,0,0,0,12296
12918,14672,F,32,4.916,5.10487,230.65,1,0,0,1,0,6432
19667,29303,M,22,5.784,5.76277,260.93,0,0,0,0,0,9829
4400,8041,F,26,4.2139999999999995,4.264959999999999,198.82,1,0,0,1,0,2163
7070,14849,F,31,4.816,4.83707,210.1,1,0,0,1,0,3450
5165,7102,M,51,4.48,4.52423,202.43,0,0,1,0,0,2554
10660,1410,M,35,4.24,4.33938,223.32,0,0,1,0,0,5255
3616,5067,M,55,4.406000000000001,4.338430000000001,194.77,0,0,1,0,0,1775
1496,2768,M,35,4.1160000000000005,4.16779,180.37,0,0,1,0,0,732
9430,12360,F,26,4.614,4.82143,218.9,1,0,0,1,0,4632
21096,21482,M,60,5.79,6.0282,270.57,0,0,0,0,1,10549
10156,8879,M,53,4.504,4.70056,221.53,0,0,0,1,0,5002
4697,9688,M,54,4.7,4.6868099999999995,200.22,0,0,0,1,0,2319
5855,2243,M,37,4.24,4.58253,205.48,0,0,1,0,0,2880
10990,16091,F,37,5.016,5.17455,224.37,1,0,0,0,1,5425
6927,11238,F,38,4.91,4.909590000000001,209.52,1,0,0,1,0,3383
25329,25910,F,69,7.3839999999999995,7.822260000000001,326.33,1,0,0,0,0,12656
7775,18644,F,44,5.0,5.01624,212.8,1,0,0,0,1,3806
6504,9633,F,41,4.48,4.74938,207.97,1,0,0,1,0,3178
22596,24501,M,65,6.044,6.29127,284.5,0,0,0,0,0,11321
12675,9415,M,48,4.614,4.9309199999999995,229.85,0,0,0,1,0,6297
1965,2615,M,26,4.184,4.1346099999999995,184.6,0,0,1,0,0,974
2296,3990,F,33,4.03,4.25406,186.97,1,0,1,0,0,1136
17855,31220,F,28,5.656000000000001,5.79074,250.9,1,0,0,0,0,8906
797,1269,M,36,4.006,3.95687,173.52,0,0,1,0,0,384
7829,17743,F,38,5.176,5.05605,213.02,1,0,0,0,1,3837
119,28,F,39,3.714,3.7042300000000004,156.55,1,1,0,0,0,62
20989,24211,F,59,5.544,5.98412,269.78,1,0,0,0,0,10486
6226,15127,F,43,4.854,4.88115,206.87,1,0,0,1,0,3054
